x,y_pred
5.418281,-0.7029218
0.018962381,0.04134834
4.712526,-1.0254389
2.9782546,0.12404503
4.470642,-1.1164052
1.5854094,0.9758209
2.5643992,0.5044498
4.2126718,-0.9179332
1.2153834,0.96755123
4.4203277,-1.0833266
2.2349615,0.76907915
4.4798417,-1.1164052
0.8169936,0.7360005
1.4638206,0.98409057
1.4681677,0.98409057
0.6485881,0.58714646
4.5615797,-1.0915962
3.6527858,-0.4217531
5.146489,-0.83523655
0.4192455,0.3969441
3.918648,-0.6533038
5.7529244,-0.5540678
0.018034797,0.04134834
1.6606301,0.9758209
3.5970514,-0.37213507
1.6977686,0.96755123
4.693153,-1.0337086
3.4310641,-0.22328106
6.137159,-0.3886744
4.839553,-0.9758209
5.691369,-0.5788768
0.6967506,0.63676447
1.9693022,0.9013939
6.2116585,-0.35559574
2.889513,0.21501139
1.9620492,0.90966356
0.78020394,0.6781128
5.549976,-0.6533038
5.4257936,-0.7029218
0.7808175,0.6781128
4.0922656,-0.81042755
5.781828,-0.53752846
3.5742402,-0.37213507
2.086417,0.8517759
0.11716437,0.14058436
0.06512058,0.08269668
2.67962,0.38040474
1.5698581,0.9758209
2.581204,0.45483178
6.2187934,-0.3390564
3.9363914,-0.66984314
0.9592642,0.8435062
1.0828474,0.95928156
0.13524434,0.1571237
6.213197,-0.35559574
0.12491056,0.1571237
0.24538843,0.23155072
1.1070737,0.9758209
2.5283067,0.5292588
5.8557534,-0.51271945
1.3081242,0.9758209
3.3671365,-0.19020237
3.5694804,-0.37213507
5.001208,-0.8931242
5.970133,-0.46310145
3.384295,-0.19020237
5.320782,-0.7525398
1.4319397,0.9758209
2.3031433,0.7029218
4.3410335,-1.0088996
5.81074,-0.53752846
3.0557964,0.06615735
3.2966008,-0.11577536
1.0929956,0.95928156
0.51191604,0.4713711
0.37647393,0.35559574
5.7088737,-0.5706071
1.6543424,0.9758209
0.9223237,0.8021579
4.2667155,-0.9427422
4.7114987,-1.0254389
2.6128545,0.43829244
1.1703074,0.96755123
5.5291924,-0.6533038
4.9507055,-0.9179332
2.0523705,0.86004555
1.8448321,0.9427422
5.5065155,-0.66157347
0.78942806,0.69465214
4.7443213,-1.0006299
