x,y_pred
5.418281,-0.7029218
0.018962381,0.049618013
4.712526,-1.0254389
2.9782546,0.11577536
4.470642,-1.1164052
1.5854094,0.96755123
2.5643992,0.46310145
4.2126718,-0.9179332
1.2153834,0.95928156
4.4203277,-1.0915962
2.2349615,0.74427015
4.4798417,-1.1164052
0.8169936,0.7360005
1.4638206,0.95928156
1.4681677,0.95928156
0.6485881,0.58714646
4.5615797,-1.0833266
3.6527858,-0.41348344
5.146489,-0.8269669
0.4192455,0.3886744
3.918648,-0.6533038
5.7529244,-0.56233746
0.018034797,0.049618013
1.6606301,0.96755123
3.5970514,-0.3886744
1.6977686,0.9510119
4.693153,-1.0337086
3.4310641,-0.22328106
6.137159,-0.3886744
4.839553,-0.96755123
5.691369,-0.5954161
0.6967506,0.64503413
1.9693022,0.88485456
6.2116585,-0.3638654
2.889513,0.19020237
1.9620492,0.8931242
0.78020394,0.6863825
5.549976,-0.6533038
5.4257936,-0.7029218
0.7808175,0.6863825
4.0922656,-0.8021579
5.781828,-0.5457981
3.5742402,-0.34732607
2.086417,0.8435062
0.11716437,0.14058436
0.06512058,0.08269668
2.67962,0.34732607
1.5698581,0.95928156
2.581204,0.43829244
6.2187934,-0.35559574
3.9363914,-0.69465214
0.9592642,0.8517759
1.0828474,0.95928156
0.13524434,0.14058436
6.213197,-0.3638654
0.12491056,0.14058436
0.24538843,0.25635973
1.1070737,0.96755123
2.5283067,0.51271945
5.8557534,-0.51271945
1.3081242,0.96755123
3.3671365,-0.1819327
3.5694804,-0.34732607
5.001208,-0.9013939
5.970133,-0.4713711
3.384295,-0.1819327
5.320782,-0.74427015
1.4319397,0.9758209
2.3031433,0.69465214
4.3410335,-1.0171692
5.81074,-0.5292588
3.0557964,0.04134834
3.2966008,-0.1323147
1.0929956,0.95928156
0.51191604,0.46310145
0.37647393,0.37213507
5.7088737,-0.5788768
1.6543424,0.96755123
0.9223237,0.8186972
4.2667155,-0.9510119
4.7114987,-1.0254389
2.6128545,0.43002278
1.1703074,0.95928156
5.5291924,-0.6533038
4.9507055,-0.90966356
2.0523705,0.86004555
1.8448321,0.93447256
5.5065155,-0.66984314
0.78942806,0.71946114
4.7443213,-1.0088996
5.497546,-0.6781128
6.175222,-0.37213507
0.7209702,0.64503413
1.2773291,0.96755123
3.8455052,-0.61195546
6.118579,-0.40521377
4.386023,-1.0585176
5.0117126,-0.9013939
5.024131,-0.8683152
3.4734828,-0.27289906
4.736744,-1.0088996
6.0921497,-0.41348344
